project_name,country_region,sector,grant_amount,implementing_entity,executing_entity,approval_date,duration,status,transferred_amount,start_date,expected_completion_date,locations,revised_completion_date,completion_date,project_id,grant_amount_clean,duration_clean
Addressing Climate Change Impacts on Marginalized Agricultural Communities Living in the Mahaweli River Basin of Sri Lanka,Sri Lanka/Asia-Pacific,Rural development,"USD 7,989,727",UN World Food Programme,"Ministry of Environment,Ministry of Agrarian Services and Wildlife",12/14/2012,3 years,Project Completed,"USD 7,989,727",11/04/2013,11/04/2016,,09/30/2020,09/30/2020,LKA/MIE/Rural/2011/1,7989727,3.0
Increasing Climate Resilience and Enhancing Sustainable Land Management in the Southwest of the Buenos Aires Province,Argentina/Latin America & Caribbean,Rural development,"USD 4,296,817",International Bank of Reconstruction and Development,Secretaria de Ambiente y Desarollo Sustentable (SA,12/14/2012,4 years,Project Completed,"USD 4,296,817",06/11/2015,06/11/2019,,09/30/2019,09/30/2019,ARG/MIE/Rural/2011/1,4296817,4.0
Enhancing adaptive capacity of communities to climate change-related floods in the North Coast and Islands Region of Papua New Guinea,Papua New Guinea/Asia-Pacific,Disaster Risk Reduction,"USD 6,530,373",UN Development Programme,Office of Climate Change and Development,03/16/2012,4 years,Project Completed,"USD 6,530,373",07/26/2012,07/26/2016,,12/31/2017,12/31/2017,PNG/MIE/DRR/2010/1,6530373,4.0
Enhancing Resilience of Communities to the Adverse Effects of Climate Change on Food Security in Mauritania,Mauritania/Africa,Food Security,"USD 7,803,605",UN World Food Programme,,06/28/2012,4 years,Project Completed,"USD 7,803,605",08/14/2014,08/14/2018,,09/15/2019,,MTN/MIE/Food/2011/1/PD,7803605,4.0
Climate Smart Agriculture: Enhancing Adaptive Capacity of the Rural Communities in Lebanon (AgriCAL),Lebanon/Asia-Pacific,Agriculture,"USD 7,860,825",International Fund Agricultural Dev,Ministry of Agriculture,06/28/2012,4 years,Project Under Implementation,"USD 6,863,315",09/15/2015,09/15/2019,,10/21/2023,,LBN/MIE/Agri/2012/1,7860825,4.0
Enhancing the Resilience of the Agricultural Sector and Coastal Areas to Protect Livelihoods and Improve Food Security,Jamaica/Latin America & Caribbean,Multi-sector,"USD 9,965,000",Planning Institute of Jamaica,,06/28/2012,3.5 years,Project Under Implementation,"USD 9,965,000",11/02/2012,05/02/2016,,12/31/2025,,JAM/NIE/Multi/2011/1,9965000,3.5
Building Resilient Food Security Systems to Benefit the Southern Egypt Region,Egypt/Africa,Food Security,"USD 6,904,318",UN World Food Programme,"Ministry of Agriculture, Ministry of Environment",06/28/2012,4 years,Project Completed,"USD 6,904,318",03/31/2013,03/31/2017,,06/30/2020,06/30/2020,EGY/MIE/Food/2011/1,6904318,4.0
Developing Agro-Pastoral Shade Gardens as an Adaptation Strategy for Poor Rural Communities,Djibouti/Africa,Agriculture,"USD 4,658,556",UN Development Programme,"Ministry of Habitat, Environment and Urbanism (MHE)",06/28/2012,5 years,Project Completed,"USD 4,658,556",03/13/2013,03/13/2018,,08/31/2018,02/28/2018,,4658556,5.0
Reducing Risk and Vulnerability to Climate Change in the Region of La Depresion Momposina in Colombia,Colombia/Latin America & Caribbean,Disaster Risk Reduction,"USD 8,518,307",UN Development Programme,Ministry of Environment and Sustainable Developmen,06/29/2012,5 years,Project Completed,"USD 8,518,307",03/21/2013,03/21/2018,,01/01/2020,01/31/2020,COL/MIE/DRR/2011/1,8518307,5.0
Enhancing Climate Resilience of Rural Communities Living in Protected Areas of Cambodia,Cambodia/Asia-Pacific,,"USD 4,954,273",UN Environment Programme,Cambodia Ministry of Environment,06/29/2012,5 years,Project Completed,"USD 4,954,273",05/21/2013,05/21/2018,,06/30/2021,06/30/2021,KHM/MIE/Food/2011/1,4954273,5.0
Promoting climate resilience in the rice sector through pilot investments in Alaotra-Mangoro region,Madagascar/Africa,Agriculture,"USD 5,104,925",UN Environment Programme,Ministry of Environment and Forests in partnership,12/14/2011,5 years,Project Completed,"USD 5,104,925",10/24/2012,10/24/2017,,06/30/2019,06/30/2019,MDG/MIE/Agri/2010/1,5104925,5.0
Enhancing Resilience of Samoa’s Coastal Communities to Climate Change,Samoa/Asia-Pacific,Multi-sector,"USD 8,732,351",UN Development Programme,Min of Natural resources and Environment (MNRE),12/14/2011,4 years,Project Completed,"USD 8,732,351",01/28/2013,01/28/2017,,06/30/2018,06/30/2018,WSM/MIE/Multi/2011/1/PD,8732351,4.0
Building resilience to climate change and variability in vulnerable smallholders,Uruguay/Latin America & Caribbean,Agriculture,"USD 9,967,678",Agencia Nacl Investigacion Innov UY,"Ministry of Agriculture, Livestock, and Fisheries",12/14/2011,5 years,Project Completed,"USD 9,967,678",10/22/2012,10/22/2017,,12/31/2020,12/31/2020,URY/NIE/Agri/2011/1,9967678,5.0
Akamatutu’anga i te iti tangata no te tuatau manakokore ia e te taui’anga reva – Strengthening the Resilience of our Islands and our Communities to Climate Change,Cook Islands/Asia-Pacific,Disaster Risk Reduction,"USD 5,381,600",UN Development Programme,Climate Change Coordination Unit and Emergency Mgt,12/14/2011,5 years,Project Completed,"USD 5,381,600",07/04/2012,07/04/2017,,05/31/2018,05/01/2018,COK/MIE/Multi/2011/1/PD,5381600,5.0
Implementation Of Concrete Adaptation Measures To Reduce Vulnerability Of Livelihood and Economy Of Coastal Communities In Tanzania,"Tanzania, United Republic of/Africa",Coastal management,"USD 5,008,564",UN Environment Programme,Vice President&amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;apos;s Office (Division of Environment),12/14/2011,5 years,Project Completed,"USD 5,008,564",10/29/2012,10/29/2017,,03/30/2019,01/30/2019,TZA/MIE/Coastal/2010/1,5008564,5.0
Developing Climate Resilient Flood and Flash Flood Management Practices to Protect Vulnerable Communities of Georgia,Georgia/Eastern Europe,Water management,"USD 5,316,500",UN Development Programme,Ministry of Environment through the National Envir,12/14/2011,4 years,Project Completed,"USD 5,316,500",07/04/2012,07/04/2016,,,02/28/2017,GEO/MIE/DRR/2010/1,5316500,4.0
Climate Change Adaptation Programme in the Coastal Zone of Mauritius,Mauritius/Africa,Coastal management,"USD 9,119,240",UN Development Programme,,09/16/2011,5 years,Project Completed,"USD 9,119,240",08/30/2012,08/30/2017,,10/30/2020,05/30/2020,MUS/MIE/Coastal/2010/2,9119240,5.0
Climate change resilient production landscapes and socioeconomic networks advanced in Guatemala,Guatemala/Latin America & Caribbean,Rural development,"USD 5,425,000",UN Development Programme,Guatemalan Ministry of Environment and Natural Res,09/12/2013,4 years,Project Completed,"USD 5,425,000",02/07/2015,02/07/2019,,,10/31/2018,GTM/MIE/Rural/2010/1,5425000,4.0
